year_month,commodity_clean,avg_price
2000-01,beans,108.02
2000-02,beans,110.22
2000-02,maize,152.66
2000-03,beans,110.22
2000-03,maize,159.27
2000-04,beans,116.83
2000-04,maize,180.76
2000-05,beans,128.41
2000-06,beans,141.63
2000-06,maize,145.49
2000-07,beans,139.43
2000-07,maize,153.76
2000-08,beans,155.96
2000-08,maize,149.35
2000-09,beans,160.37
2000-09,maize,160.37
2000-10,beans,235.32
2000-10,maize,185.72
2000-11,beans,239.73
2000-11,maize,187.93
2000-12,beans,198.95
2000-12,maize,179.66
2001-01,beans,146.59
2001-01,maize,165.88
2001-02,beans,127.31
2001-02,maize,159.27
2001-03,beans,139.43
2001-03,maize,145.49
2001-04,beans,139.43
2001-04,maize,139.43
2001-05,beans,134.47
2001-06,beans,131.71
2001-06,maize,137.78
2001-07,beans,149.35
2001-07,maize,142.74
2001-08,beans,154.86
2001-08,maize,136.67
2002-02,maize,101.95
2002-11,beans,109.67
2002-12,beans,117.66
2002-12,maize,110.22
2003-01,beans,110.22
2003-01,maize,108.57
2003-02,beans,101.95
2003-03,beans,102.5
2003-03,maize,75.5
2003-04,beans,106.36
2003-05,beans,91.48
2003-05,maize,104.71
2003-06,beans,94.79
2003-06,maize,103.06
2003-07,beans,112.42
2003-07,maize,102.5
2003-08,beans,111.32
2003-09,beans,120.14
2003-09,maize,85.42
2003-10,beans,108.57
2003-10,maize,83.77
2003-11,beans,137.22
2003-11,maize,117.39
2003-12,beans,134.47
2004-01,beans,104.16
2004-01,maize,108.57
2004-02,beans,113.53
2004-03,beans,113.53
2004-03,maize,104.16
2004-04,beans,114.08
2004-05,beans,119.59
2004-05,maize,99.75
2004-06,beans,124.55
2004-06,maize,99.75
2005-03,maize,150.45
2005-09,beans,164.78
2005-09,maize,114.08
2005-10,beans,166.98
2005-11,beans,165.33
2005-11,maize,115.73
2005-12,beans,159.82
2005-12,maize,121.24
2006-01,beans,174.05
2006-01,maize,123.35
2006-02,beans,178.62
2006-03,beans,186.23
2006-03,maize,138.34
2006-04,beans,191.4
2006-05,beans,213.76
2006-05,maize,157.18
2006-06,beans,179.07
2006-06,maize,173.34
2006-07,beans,151.98
2006-07,maize,164.41
2006-08,beans,163.22
2006-08,maize,169.03
2006-09,beans,165.42
2006-09,maize,120.56
2006-10,beans,172.65
2006-11,beans,206.18
2006-11,maize,126.91
2006-12,beans,214.17
2006-12,maize,131.18
2007-01,beans,204.77
2007-01,maize,135.11
2007-02,beans,154.47
2007-03,beans,174.5
2007-03,maize,138.79
2007-04,beans,204.86
2007-05,beans,218.36
2007-05,maize,119.77
2007-06,beans,207.93
2007-06,maize,114.13
2007-07,beans,203.22
2007-07,maize,113.23
2007-08,beans,221.18
2007-08,maize,120.44
2007-09,beans,274.99
2007-10,beans,326.0
2007-11,beans,334.02
2007-11,maize,118.9
2007-12,beans,340.26
2007-12,maize,124.65
2008-01,beans,288.75
2008-01,maize,169.27966666666669
2008-02,beans,286.22
2008-02,maize,160.91666666666666
2008-03,beans,330.42
2008-03,maize,154.66586206896554
2008-04,beans,288.24
2008-04,maize,158.118
2008-05,beans,260.68
2008-05,maize,155.35766666666666
2008-06,beans,278.17
2008-06,maize,177.4
2008-07,beans,312.96
2008-07,maize,194.31666666666666
2008-08,beans,333.22
2008-08,maize,204.65296296296296
2008-09,beans,339.22
2008-09,maize,220.025
2008-10,beans,333.8
2008-10,maize,247.7433333333333
2008-11,beans,307.42
2008-11,maize,253.59375
2008-12,beans,308.02
2008-12,maize,246.6625
2009-01,beans,235.74
2009-01,maize,216.54761904761904
2009-02,beans,212.12
2009-02,maize,210.70035714285714
2009-03,beans,198.94
2009-03,maize,203.65434782608696
2009-04,beans,203.06
2009-04,maize,204.56222222222223
2009-05,bananas,307.9433333333333
2009-05,beans,199.9
2009-05,maize,212.27360000000002
2009-06,bananas,253.3181818181818
2009-06,beans,200.19
2009-06,maize,221.14380952380955
2009-07,bananas,272.63800000000003
2009-07,beans,204.0
2009-07,maize,207.16619047619048
2009-08,bananas,272.01814814814816
2009-08,beans,240.11
2009-08,maize,221.24115384615385
2009-09,bananas,272.70384615384614
2009-09,beans,344.46
2009-09,maize,240.325
2009-10,bananas,276.50266666666664
2009-10,beans,305.25
2009-10,maize,274.17400000000004
2009-11,bananas,289.74333333333334
2009-11,beans,300.06
2009-11,maize,288.23285714285714
2009-12,bananas,273.37148148148145
2009-12,beans,299.83
2009-12,maize,291.77272727272725
2010-01,bananas,292.9167857142857
2010-01,maize,257.73
2010-02,bananas,282.62
2010-02,beans,260.9
2010-02,maize,196.96
2010-03,bananas,295.6548148148148
2010-03,beans,248.4
2010-03,maize,179.23680000000002
2010-04,bananas,279.195
2010-04,beans,220.85
2010-04,maize,164.26384615384615
2010-05,bananas,299.65423076923076
2010-05,beans,236.28
2010-05,maize,182.91652173913045
2010-06,bananas,281.0953333333334
2010-06,beans,252.85
2010-06,maize,154.63761904761904
2010-07,bananas,311.1057692307692
2010-07,beans,254.58
2010-07,maize,145.59962962962962
2010-08,bananas,353.005
2010-08,beans,282.99
2010-08,maize,141.54333333333335
2010-09,bananas,351.0488235294118
2010-09,beans,272.33
2010-09,maize,155.20758620689656
2010-10,bananas,314.8194736842105
2010-10,beans,308.39
2010-10,maize,177.08599999999998
2010-11,bananas,293.14714285714285
2010-11,beans,301.25
2010-11,maize,195.30470588235292
2010-12,bananas,315.5953846153846
2010-12,beans,273.99
2010-12,maize,183.16899999999998
2011-01,bananas,317.08925
2011-01,beans,266.72
2011-01,maize,197.30461538461537
2011-02,bananas,319.78615384615387
2011-02,beans,239.37
2011-02,maize,175.55612903225807
2011-03,bananas,326.603
2011-03,beans,269.25
2011-03,maize,176.77966666666669
2011-04,bananas,333.23625000000004
2011-04,beans,268.96
2011-04,maize,197.01823529411763
2011-05,bananas,350.4392307692308
2011-05,beans,274.6
2011-05,maize,214.89964285714285
2011-06,bananas,351.24850000000004
2011-06,beans,319.51
2011-06,maize,244.8023076923077
2011-07,bananas,384.78605263157897
2011-07,beans,304.95
2011-07,maize,271.7032142857143
2011-08,bananas,367.5962857142857
2011-08,beans,281.56
2011-08,maize,219.91967741935485
2011-09,bananas,374.2467567567567
2011-09,beans,294.06
2011-09,maize,224.32827586206898
2011-10,bananas,370.70810810810815
2011-10,beans,292.88
2011-10,maize,235.67296296296297
2011-11,bananas,381.25225
2011-11,beans,291.28
2011-11,maize,241.00852941176473
2011-12,bananas,329.5917021276596
2011-12,beans,288.99
2011-12,maize,255.07897435897436
2012-01,bananas,123.41846153846154
2012-01,beans,274.86
2012-01,maize,255.82424999999998
2012-02,bananas,118.94355555555556
2012-02,beans,286.65
2012-02,maize,215.30642857142857
2012-03,bananas,127.6527906976744
2012-03,beans,288.98
2012-03,maize,197.19258064516129
2012-04,bananas,136.17533333333333
2012-04,beans,299.92
2012-04,maize,217.366
2012-05,bananas,140.4545283018868
2012-05,beans,281.66
2012-05,maize,239.11416666666668
2012-06,bananas,137.969
2012-06,beans,286.0
2012-06,maize,264.5681081081081
2012-07,bananas,129.9049090909091
2012-07,beans,317.99
2012-07,maize,271.5827906976744
2012-08,bananas,130.75865384615383
2012-08,beans,354.51
2012-08,maize,269.82681818181817
2012-09,bananas,135.95454545454547
2012-09,beans,297.06
2012-09,maize,273.4864864864865
2012-10,bananas,151.3409090909091
2012-10,beans,312.79
2012-10,maize,281.8843243243243
2012-11,bananas,147.96867924528303
2012-11,beans,313.29
2012-11,maize,271.1247619047619
2012-12,bananas,157.4269387755102
2012-12,beans,347.1
2012-12,maize,285.35421052631574
2013-01,bananas,146.34425531914894
2013-01,beans,298.82
2013-01,maize,294.2982352941176
2013-02,bananas,133.9795918367347
2013-02,beans,320.25
2013-02,maize,257.43394736842106
2013-03,bananas,139.67823529411766
2013-03,beans,304.64
2013-03,maize,226.08238095238093
2013-04,bananas,146.9662962962963
2013-04,beans,302.42
2013-04,maize,239.1375
2013-05,bananas,146.2561224489796
2013-05,beans,372.48
2013-05,maize,223.56404761904764
2013-06,bananas,142.11086206896553
2013-06,beans,403.94
2013-06,maize,229.8390243902439
2013-07,bananas,132.5487272727273
2013-07,beans,324.03
2013-07,maize,226.11695652173916
2013-08,bananas,132.0092857142857
2013-08,beans,338.29
2013-08,maize,219.25558139534883
2013-09,bananas,142.23357142857142
2013-09,beans,436.64
2013-09,maize,251.02166666666668
2013-10,bananas,163.76915254237286
2013-10,beans,490.69
2013-10,maize,302.411568627451
2013-11,bananas,167.9073684210526
2013-11,beans,474.42
2013-11,maize,320.2513043478261
2013-12,bananas,178.40037037037038
2013-12,beans,403.37
2013-12,maize,334.33461538461535
2014-01,bananas,179.42362068965517
2014-01,beans,330.5
2014-01,maize,289.8760975609756
2014-02,bananas,176.7088
2014-02,beans,319.71
2014-02,maize,258.60634146341465
2014-03,bananas,182.4020754716981
2014-03,beans,336.41
2014-03,maize,221.90050000000002
2014-04,bananas,187.59280701754386
2014-04,beans,338.29
2014-04,maize,213.09256410256413
2014-05,bananas,181.20754716981133
2014-05,beans,336.86
2014-05,maize,215.71214285714285
2014-06,bananas,170.91444444444443
2014-06,beans,382.32
2014-06,maize,236.52575000000002
2014-07,bananas,152.6107142857143
2014-07,beans,385.09
2014-07,maize,243.80288888888887
2014-08,bananas,148.7641818181818
2014-08,beans,361.23
2014-08,maize,243.95902439024388
2014-09,bananas,158.7642105263158
2014-09,beans,358.12
2014-09,maize,255.02302325581394
2014-10,bananas,154.94388888888886
2014-10,beans,334.34
2014-10,maize,259.3357142857143
2014-11,bananas,160.7798113207547
2014-11,beans,343.24
2014-11,maize,264.4574358974359
2014-12,bananas,164.03781818181818
2014-12,beans,345.55
2014-12,maize,248.90945945945944
2015-01,bananas,162.91326923076923
2015-01,beans,341.9
2015-01,maize,213.54184210526316
2015-02,bananas,169.0929090909091
2015-02,beans,343.47
2015-02,maize,190.55318181818183
2015-03,bananas,171.34565217391304
2015-03,beans,343.25
2015-03,maize,183.5120930232558
2015-04,bananas,171.70813559322036
2015-04,beans,346.11
2015-04,maize,210.70340425531913
2015-05,bananas,169.20474576271187
2015-05,beans,339.37
2015-05,maize,214.71804347826088
2015-06,bananas,160.2744642857143
2015-06,beans,354.44
2015-06,maize,214.006511627907
2015-07,bananas,151.61450000000002
2015-07,beans,357.91
2015-07,maize,227.7063043478261
2015-08,bananas,154.70172413793105
2015-08,beans,356.33
2015-08,maize,235.2802564102564
2015-09,bananas,150.91706896551725
2015-09,beans,360.55
2015-09,maize,243.59785714285715
2015-10,bananas,170.6324074074074
2015-10,beans,363.52
2015-10,maize,249.68536585365854
2015-11,bananas,187.60826923076922
2015-11,beans,378.43
2015-11,maize,278.84675675675675
2015-12,bananas,188.26203703703703
2015-12,maize,295.4745454545455
2016-01,beans,423.15
2016-01,maize,308.33
2016-02,beans,409.86
2016-02,maize,319.21
2016-03,maize,293.36
2016-04,beans,392.3
2016-05,beans,386.17
2016-05,maize,274.17
2016-06,beans,384.69
2016-06,maize,289.15
2016-07,beans,412.6
2016-07,maize,310.31
2016-08,bananas,250.0
2016-08,beans,401.75
2016-08,maize,300.0
2016-09,bananas,210.0
2016-09,beans,423.86
2016-09,maize,296.58
2016-10,bananas,255.0
2016-10,beans,517.12
2016-10,maize,330.06
2016-11,bananas,264.72727272727275
2016-11,beans,516.23
2016-11,maize,371.3246153846154
2016-12,bananas,258.3333333333333
2016-12,beans,541.16
2016-12,maize,400.658
2017-01,bananas,277.72727272727275
2017-01,beans,434.01
2017-01,maize,350.33666666666664
2017-02,bananas,248.1818181818182
2017-02,beans,396.72
2017-02,maize,328.3333333333333
2017-03,bananas,261.0
2017-03,beans,432.32
2017-03,maize,318.9742857142857
2017-04,bananas,269.44444444444446
2017-04,beans,420.64
2017-04,maize,361.65
2017-05,bananas,237.5
2017-05,beans,381.75
2017-05,maize,371.42857142857144
2017-06,bananas,227.5
2017-06,beans,400.72
2017-06,maize,386.4175
2017-07,bananas,228.5
2017-07,beans,406.46
2017-07,maize,349.0325
2017-08,bananas,232.0
2017-08,beans,408.05
2017-08,maize,322.22222222222223
2017-09,bananas,242.85714285714286
2017-09,beans,395.88
2017-09,maize,378.3441666666667
2017-10,bananas,256.6666666666667
2017-10,beans,406.15
2017-10,maize,342.44066666666663
2017-11,bananas,275.45454545454544
2017-11,beans,407.21
2017-11,maize,303.15285714285716
2017-12,bananas,252.66666666666666
2017-12,beans,408.79
2017-12,maize,270.68
2018-01,bananas,244.0625
2018-01,beans,421.56
2018-01,maize,263.7042105263158
2018-02,bananas,246.5625
2018-02,beans,436.69
2018-02,maize,227.38095238095238
2018-03,bananas,240.33333333333334
2018-03,beans,436.78
2018-03,maize,213.4565
2018-04,bananas,248.6875
2018-04,beans,405.28
2018-04,maize,199.4435
2018-05,bananas,246.05263157894737
2018-05,beans,416.14
2018-05,maize,191.8
2018-06,bananas,224.72222222222223
2018-06,beans,458.99
2018-06,maize,202.44176470588238
2018-07,bananas,181.60714285714286
2018-07,beans,426.74
2018-07,maize,193.92285714285714
2018-08,bananas,180.5
2018-08,beans,383.87
2018-08,maize,177.25
2018-09,bananas,211.80555555555554
2018-09,beans,431.15
2018-09,maize,176.1765
2018-10,bananas,197.5
2018-10,beans,448.13
2018-10,maize,193.16166666666666
2018-11,bananas,199.67555555555555
2018-11,beans,447.19
2018-11,maize,192.857
2018-12,bananas,185.625
2018-12,beans,459.38
2018-12,maize,195.871875
2019-01,bananas,190.4085
2019-01,beans,459.54
2019-01,maize,243.31599999999997
2019-02,bananas,187.0
2019-02,beans,472.16
2019-02,maize,236.07526315789474
2019-03,bananas,191.3235294117647
2019-03,beans,517.41
2019-03,maize,236.37105263157895
2019-04,bananas,196.92307692307693
2019-04,beans,523.66
2019-04,maize,233.261875
2019-05,bananas,205.65625
2019-05,beans,536.78
2019-05,maize,264.59000000000003
2019-06,bananas,194.88888888888889
2019-06,beans,500.06
2019-06,maize,282.8785
2019-07,bananas,185.96058823529413
2019-07,beans,460.26
2019-07,maize,328.6554545454546
2019-08,bananas,177.22875
2019-08,beans,450.72
2019-08,maize,316.2915
2019-09,bananas,187.5
2019-09,beans,462.1
2019-09,maize,347.4955
2019-10,bananas,198.77777777777777
2019-10,beans,450.09
2019-10,maize,405.707
2019-11,bananas,204.91611111111112
2019-11,beans,523.7
2019-11,maize,496.8857894736842
2019-12,bananas,211.1764705882353
2019-12,beans,667.65
2019-12,maize,517.3158823529412
2020-01,bananas,229.91210526315788
2020-01,beans,654.2850000000001
2020-01,maize,442.3238095238095
2020-02,bananas,222.12136363636364
2020-02,beans,518.3199999999999
2020-02,maize,292.42038461538465
2020-03,bananas,227.12944444444443
2020-03,beans,501.27
2020-03,maize,264.3047826086957
2020-04,bananas,211.27
2020-04,beans,498.40500000000003
2020-04,maize,284.0948148148148
2020-05,bananas,200.58350000000002
2020-05,beans,471.55
2020-05,maize,262.71708333333333
2020-06,bananas,195.595
2020-06,beans,444.395
2020-06,maize,273.64761904761906
2020-07,bananas,176.979375
2020-07,beans,449.38
2020-07,maize,283.3275
2020-08,bananas,180.46875
2020-08,beans,466.91999999999996
2020-08,maize,292.9266666666667
2020-09,bananas,196.0
2020-09,beans,560.97
2020-09,maize,316.9627777777778
2020-10,bananas,193.03941176470587
2020-10,maize,338.56823529411764
2020-11,bananas,230.520625
2020-11,maize,343.5029411764706
2020-12,bananas,231.0
2020-12,beans,599.28
2020-12,maize,361.9478947368421
2021-01,bananas,236.37235294117647
2021-01,beans,533.01
2021-01,maize,370.35285714285715
2021-02,beans,476.47
2021-02,maize,295.5292857142857
2021-03,bananas,224.6875
2021-03,beans,460.86
2021-03,maize,246.92190476190476
2021-04,bananas,225.76923076923077
2021-04,beans,487.28
2021-04,maize,222.2133333333333
2021-05,bananas,254.5
2021-05,beans,491.75
2021-05,maize,224.90727272727273
2021-06,bananas,209.505
2021-06,beans,526.3
2021-06,maize,226.40347826086955
2021-07,bananas,175.9375
2021-07,maize,228.0957894736842
2021-08,bananas,159.55533333333332
2021-08,beans,533.0
2021-08,maize,248.2645
2021-09,bananas,157.01
2021-09,beans,541.0
2021-09,maize,278.8938095238095
2021-10,bananas,195.278
2021-10,maize,305.3361111111111
2021-11,bananas,203.4375
2021-11,maize,355.469375
2021-12,bananas,204.28571428571428
2021-12,maize,380.0410526315789
2022-01,bananas,226.5625
2022-01,maize,391.6353846153846
2022-02,bananas,206.80583333333334
2022-02,maize,296.82466666666664
2022-03,bananas,230.23785714285714
2022-03,maize,299.10526315789474
2022-04,maize,353.00272727272727
2022-05,bananas,273.75
2022-05,maize,364.33944444444444
2022-06,bananas,267.5
2022-06,maize,425.78625
2022-07,bananas,259.2307692307692
2022-07,maize,474.421875
2022-08,bananas,245.43333333333334
2022-08,maize,476.2695
2022-09,bananas,247.5
2022-09,maize,560.9147368421053
2022-10,bananas,266.3092857142857
2022-10,maize,650.2535294117647
2022-11,bananas,261.42857142857144
2022-11,maize,690.88
2022-12,maize,686.4984615384615
2023-01,bananas,333.26666666666665
2023-01,maize,657.76625
2023-02,bananas,342.6665
2023-02,maize,499.64681818181816
2023-03,bananas,367.7775
2023-03,maize,560.02
2023-04,bananas,392.0833333333333
2023-04,maize,510.0623529411764
2023-05,bananas,350.7692307692308
2023-05,maize,529.964375
2023-06,bananas,302.0833333333333
2023-06,maize,587.958125
2023-07,bananas,300.89285714285717
2023-07,maize,585.8736842105263
2023-08,bananas,286.0609090909091
2023-08,maize,602.0055555555556
2023-09,maize,629.9993333333333
2023-10,bananas,462.5
2023-10,maize,592.5285714285715
2023-11,bananas,362.11538461538464
2023-11,maize,580.4094117647059
2023-12,bananas,376.6023076923077
2023-12,maize,505.2689473684211
2024-01,bananas,372.6192857142857
2024-01,maize,440.8564705882353
2024-02,bananas,375.0
2024-02,maize,338.67526315789473
2024-03,bananas,417.604375
2024-03,maize,307.161875
2024-04,bananas,399.2857142857143
2024-04,maize,325.1185
2024-05,bananas,485.9375
2024-05,maize,322.3614285714286
2024-06,bananas,303.3335
2024-06,maize,318.5848
2024-07,bananas,292.778
2024-07,maize,352.40333333333336
2024-08,bananas,289.3516666666667
2024-08,maize,384.6505
2024-09,bananas,318.5253846153846
2024-09,maize,411.25111111111113
2024-10,bananas,369.270625
2024-10,maize,482.64799999999997
2024-11,bananas,419.44444444444446
2024-11,maize,539.8685
2024-12,bananas,406.6666666666667
2024-12,maize,571.0805555555556
2025-01,bananas,438.1666666666667
2025-01,maize,578.9384210526316
2025-02,bananas,436.3692857142857
2025-02,maize,486.9485714285714
2025-03,bananas,445.9375
2025-03,maize,434.8190909090909
2025-04,bananas,464.666
2025-04,maize,483.7625
2025-05,bananas,471.21181818181816
2025-05,maize,498.37578947368416
2025-06,bananas,449.10714285714283
2025-06,maize,528.438
